,id,season,week,neutral,conference_game,venue,venue_id,home_team,home_team_id,home_conference,home_points,home_in_acc,home_in_aac,home_in_big12,home_in_big10,home_in_cusa,home_independent,home_in_mac,home_in_mwc,home_in_pac12,home_in_sec,home_in_sunbelt,home_fcs,home_time_change,away_team,away_team_id,away_conference,away_points,away_in_acc,away_in_aac,away_in_big12,away_in_big10,away_in_cusa,away_independent,away_in_mac,away_in_mwc,away_in_pac12,away_in_sec,away_in_sunbelt,away_fcs,away_time_change,home_coach_interim,away_coach_interim,tenure_delta,spread,spread_open,home_favorite,temperature,dew_point,humidity,precipitation,snowfall,wind_speed,weather_condition,weather_condition_str,of_interest,covered,start_date,home_pregame_elo,replaced_home_elo,away_pregame_elo,replaced_away_elo,over_under,over_under_open,home_moneyline,away_moneyline,game_indoors,wind_dir,atm_pressure
0,401756846,2025,1,1,1,Aviva Stadium,3504,Kansas State,2306,Big 12,21,0,0,1,0,0,0,0,0,0,0,0,0,1,Iowa State,66,Big 12,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-3,-3.0,-2.5,1,67.6,64.0,88.0,0,0.0,4.3,4,Overcast,0,0,2025-08-23 16:00:00+00:00,1669.0,0,1616.0,0,51,49.5,-165,140,0,130.0,1019.0
1,401760371,2025,1,0,0,Allegiant Stadium,6501,UNLV,2439,Mountain West,38,0,0,0,0,0,0,0,1,0,0,0,0,0,Idaho State,304,Big Sky,31,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,-30.5,-24.5,1,68.0,49.3,55.2,0,,7.5,3,,0,0,2025-08-23 20:00:00+00:00,1411.642857142857,1,,1,67,64.5,-3500,1100,0,174.5,1017.4
2,401756847,2025,1,0,0,Memorial Stadium,3833,Kansas,2305,Big 12,31,0,0,1,0,0,0,0,0,0,0,0,0,0,Fresno State,278,Mountain West,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,4,-14.0,-14.5,1,81.3,61.0,50.0,0,0.0,10.3,1,Clear,0,1,2025-08-23 22:30:00+00:00,1583.0,0,1490.0,0,50,51.5,-575,400,0,356.0,1016.6
3,401757218,2025,1,0,1,Houchens Industries-L.T. Smith Stadium,3796,Western Kentucky,98,Conference USA,41,0,0,0,0,1,0,0,0,0,0,0,0,0,Sam Houston,2534,Conference USA,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,-9.5,-7.0,1,84.4,60.8,45.0,0,0.0,6.9,1,Clear,0,1,2025-08-23 23:00:00+00:00,1409.0,0,1452.0,0,60,61.5,-390,295,0,340.0,1014.0
4,401754516,2025,1,0,0,Clarence T.C. Ching Athletics Complex,7220,Hawai'i,62,Mountain West,23,0,0,0,0,0,0,0,1,0,0,0,0,0,Stanford,24,ACC,20,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,3,-2.0,2.5,1,82.8,65.5,56.0,0,0.0,23.9,1,Clear,0,1,2025-08-23 23:30:00+00:00,1257.0,0,1283.0,0,50,55.5,115,-135,0,69.0,1016.2
